City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
505,russkaya polyana,49.417,31.9201,3.31,73,100,3.18,UA,1710823553
506,kununurra,-15.7667,128.7333,35.99,56,21,2.57,AU,1710823553
507,general pico,-35.6566,-63.7568,21.34,89,69,1.78,AR,1710823277
508,asika,19.6,84.65,34.02,35,46,1.69,IN,1710823554
509,kyzylorda,44.8528,65.5092,7.01,70,0,4.0,KZ,1710823273
510,razole,16.4833,81.8333,32.95,41,6,3.28,IN,1710823555
511,cabo san lucas,22.8909,-109.9124,21.53,69,56,2.24,MX,1710823438
512,saint-jean-de-monts,46.7833,-2.0667,10.51,83,100,1.73,FR,1710823556
513,sombor,45.7742,19.1122,1.95,62,100,3.27,RS,1710823556
514,muli,2.9167,73.5667,28.71,69,3,4.72,MV,1710823557
515,la passe,45.5549,-0.8967,9.43,90,93,1.89,FR,1710823557
516,nieuw amsterdam,5.8833,-55.0833,25.09,85,95,4.08,SR,1710823558
517,ekenas,59.9736,23.4339,-0.06,93,100,1.24,FI,1710823558
518,cole harbour,44.6724,-63.4751,1.71,83,35,1.34,CA,1710823363
519,san juan,-31.5375,-68.5364,22.69,46,21,2.63,AR,1710823492
520,sandakan,5.8402,118.1179,29.82,66,40,3.6,MY,1710823384
521,zhezqazghan,47.7833,67.7667,-0.68,93,0,4.0,KZ,1710823273
522,rawson,-43.3002,-65.1023,14.53,64,2,6.79,AR,1710823561
523,chardara,41.2547,67.9692,16.54,57,100,3.5,KZ,1710823274
524,mugia,43.1041,-9.2179,6.62,78,100,1.78,ES,1710823562
525,cambria,35.5641,-121.0808,18.32,93,7,0.89,US,1710823338
526,san luis de la loma,17.2706,-100.8939,23.54,78,64,0.84,MX,1710823564
527,urangan,-25.3,152.9,29.55,65,57,4.92,AU,1710823565
528,hammerfest,70.6634,23.6821,-2.75,93,100,2.06,NO,1710823565
529,mingoyo,-10.1,39.6333,24.99,95,79,1.86,TZ,1710823566
530,cooper's town,26.8667,-77.5167,25.08,78,38,7.45,BS,1710823566
531,hatillo,18.4863,-66.8254,25.77,82,0,2.36,PR,1710823567
532,penzance,50.1186,-5.5371,11.38,94,98,8.26,GB,1710823567
533,dhidhdhoo,6.8833,73.1,28.5,74,14,5.8,MV,1710823568
534,thika,-1.0333,37.0693,20.06,84,65,1.4,KE,1710823568
535,soavinandriana,-19.1667,46.7333,18.42,78,9,1.73,MG,1710823569
536,newman,37.3138,-121.0208,17.99,81,8,1.34,US,1710823569
537,trutnov,50.561,15.9127,-0.28,79,11,1.28,CZ,1710823570
538,south venice,27.0531,-82.4243,22.21,85,59,5.36,US,1710823570
539,waimea,20.0231,-155.6717,17.78,95,90,2.24,US,1710823571
540,karratha,-20.7377,116.8463,33.33,50,57,7.92,AU,1710823571
541,paracatu,-17.2222,-46.8747,22.86,72,41,1.06,BR,1710823381
542,tres lagoas,-20.7511,-51.6783,26.13,63,12,0.34,BR,1710823364
543,zabid,14.1951,43.3152,27.17,63,66,1.52,YE,1710823572
544,kosh-agach,50.0,88.6667,-10.32,77,47,0.87,RU,1710823573
545,tezu,27.9167,96.1667,31.18,19,55,1.77,IN,1710823573
546,yulinshi,38.2906,109.7494,8.44,14,0,6.51,CN,1710823574
547,lichinga,-13.3128,35.2406,18.05,94,75,5.66,MZ,1710823574
548,bairnsdale,-37.8333,147.6167,31.7,42,28,0.45,AU,1710823574
549,deder,9.3167,41.45,17.85,42,71,2.29,ET,1710823575
550,waitara,-38.925,174.25,13.33,48,11,8.15,NZ,1710823403
551,turpan,42.9333,89.1667,16.08,12,3,1.57,CN,1710823576
552,magadan,59.5667,150.8,-0.26,76,24,0.41,RU,1710823576
553,nenjiang,49.1833,125.2167,-2.81,67,100,4.61,CN,1710823577
554,pelotas,-31.7719,-52.3425,24.36,95,89,0.89,BR,1710823570
555,port augusta,-32.5,137.7667,25.15,48,35,9.93,AU,1710823578
556,pimentel,-6.8367,-79.9342,24.16,78,100,4.12,PE,1710823578
557,xianyang,34.3378,108.7026,16.58,14,11,1.0,CN,1710823579
558,peace river,56.2501,-117.286,-0.83,80,75,3.6,CA,1710823579
559,kostomuksha,64.571,30.5767,-8.31,84,60,4.92,RU,1710823580
560,ararat,39.8317,44.7049,6.19,93,100,0.44,AM,1710823581
561,ducheng,23.2373,111.5317,20.84,56,79,3.77,CN,1710823581
562,roma,43.2128,-75.4557,0.08,83,100,5.14,US,1710823582
563,geraldton,-28.7667,114.6,31.23,33,0,9.77,AU,1710823582
564,morehead city,34.7229,-76.726,15.0,79,75,3.6,US,1710823583
